Morph-lemma,Morph-inflection
de,de
le,la
le,le
à,à
et,et
le,les
en,en
avoir,a
un,un
de,du
un,une
pour,pour
de,des
que,que
dans,dans
être,est
qui,qui
au,au
sur,sur
un,des
pas,pas
par,par
ce,ce
le,Le
plus,plus
avec,avec
se,se
avoir,ont
son,son
ne,ne
être,été
le,La
être,sont
le,Les
il,il
il,Il
ce,cette
à,aux
son,sa
mais,mais
son,ses
deux,deux
ou,ou
être,être
tout,tout
nous,nous
comme,comme
faire,fait
on,on
son,leur
avoir,avait
aussi,aussi
an,ans
en,En
faire,faire
même,même
ce,ces
depuis,depuis
après,après
bien,bien
être,était
avoir,avoir
entrer,entre
luire,lui
très,très
pays,pays
on,On
pour,Pour
encore,encore
vous,vous
ce,Ce
mais,Mais
contre,contre
autre,autres
y,y
un,Un
je,Je
je,je
un,Une
lui,elle
sans,sans
où,où
également,également
et,Et
si,si
avant,avant
tout,tous
dont,dont
pouvoir,peut
être,sera
monde,monde
lors,lors
dans,Dans
nous,Nous
dernier,dernier
mois,mois
moins,moins
leur,leurs
fois,fois
déjà,déjà
premier,premier
plusieurs,plusieurs
temps,temps
année,année
personne,personnes
premier,première
alors,alors
trois,trois
peu,peu
président,président
aller,va
fin,fin
place,place
donc,donc
toujours,toujours
selon,selon
à,À
ainsi,ainsi
ministre,ministre
autre,autre
notre,notre
dire,dit
cela,ça
lui,Elle
prix,prix
ce,Cette
falloir,faut
cas,cas
notamment,notamment
gouvernement,gouvernement
sou,sous
année,années
nouveau,nouveau
il,ils
vie,vie
si,Si
nouveau,nouvelle
jour,jours
quelque,quelques
de,De
au,Au
un,Des
partie,partie
début,début
jour,jour
celer,cela
jeu,jeu
notre,nos
vers,vers
équipe,équipe
face,face
beaucoup,beaucoup
devoir,doit
il,Ils
selon,Selon
projet,projet
ailleurs,ailleurs
avoir,eu
avoir,avons
moment,moment
ce,cet
cours,cours
être,soit
après,Après
vendredi,vendredi
déclarer,déclaré
lundi,lundi
travail,travail
groupe,groupe
jamais,jamais
tout,toute
chez,chez
million,millions
saison,saison
dernier,dernière
lieu,lieu
non,non
mercredi,mercredi
mardi,mardi
près,près
me,me
reste,reste
grand,grand
pouvoir,pouvoir
semaine,semaine
quand,quand
tout,toutes
fait,fait
compte,compte
côté,côté
effet,effet
devant,devant
homme,homme
situation,situation
enfant,enfants
politique,politique
être,étaient
être,suis
part,part
pendant,pendant
quatre,quatre
samedi,samedi
annoncer,annoncé
dimanche,dimanche
afin,afin
russe,russe
ville,ville
être,seront
niveau,niveau
jeudi,jeudi
avoir,avaient
grand,grande
prendre,pris
